cluster_cat,industrial_count,retail_count,entertainment_count,education_count,food_count,healthcare_count,resi_count,transport_count,green_count,commercials_count
0,0.21328671328671328,0.4375,0.4523809523809524,0.5870445344129555,0.36601859678782755,0.41689373297002724,1.0,1.0,0.15930144267274107,1.0
1,0.02097902097902098,0.21875,0.6904761904761905,0.5708502024291497,0.834319526627219,1.0,0.3953488372093023,0.41845238095238096,0.015110098709187548,0.5114503816793893
2,0.0,0.020833333333333332,0.16666666666666666,0.20647773279352227,0.19357565511411665,0.15258855585831063,0.5548691860465116,0.0,0.0012908124525436598,0.07251908396946564
3,0.20716783216783216,1.0,0.6547619047619048,1.0,0.6821639898562976,0.6457765667574932,0.8913517441860465,0.763095238095238,0.07281700835231587,0.7748091603053435
4,0.049825174825174824,0.0,0.0,0.0,0.0,0.0,0.062136627906976744,0.17797619047619048,1.0,0.0
5,0.056818181818181816,0.28125,0.5595238095238095,0.6477732793522267,0.6982248520710059,0.8038147138964578,0.6006540697674418,0.425,0.022854973424449507,0.5076335877862596
6,0.0008741258741258741,0.0,0.09523809523809523,0.032388663967611336,0.10059171597633136,0.09809264305177112,0.0,0.01369047619047619,0.0,0.030534351145038167
7,1.0,0.6979166666666666,0.21428571428571427,0.32793522267206476,0.2654268808114962,0.21798365122615804,0.4952761627906977,0.9023809523809524,0.17471526195899773,0.9694656488549618
8,0.006993006993006993,0.11458333333333333,1.0,0.5991902834008097,1.0,0.6757493188010899,0.39280523255813954,0.26011904761904764,0.008048595292331056,0.44656488549618323
9,0.01486013986013986,0.0625,0.13095238095238096,0.340080971659919,0.17075232459847844,0.14168937329700274,0.9044331395348837,0.10178571428571428,0.008656036446469248,0.21755725190839695
